"Name","alpha","gamma","method","n_bins","n_episodes","temperature","average_reward_across_seeds"
"laced-sweep-14","0.23629947463808623","0.99","","20","1000","1.8975349223477904","280.072"
"golden-sweep-43","0.4746949434304494","0.99","","20","1000","1.9841778211432148","200.28"
"fresh-sweep-18","0.34777063004694847","0.99","","15","1000","1.7747857705186434","197.752"
"whole-sweep-23","0.3642381172417675","0.99","","15","1000","1.5064733102434136","197.204"
"trim-sweep-24","0.2229142362500994","0.99","","15","1000","1.361179947089153","192.50000000000003"
"fresh-sweep-4","0.17227121892027367","0.99","","15","1000","1.4122984906127094","185.488"
"rural-sweep-22","0.12076396041988616","0.99","","20","1000","1.8013764232782523","183.208"
"vibrant-sweep-5","0.1967228999158775","0.99","","10","1000","1.6525584011396486","178.224"
"hearty-sweep-12","0.2750517141978133","0.99","","15","1000","1.748836299196283","172.952"
"gentle-sweep-29","0.333579133119166","0.99","","15","1000","1.551547752589765","172.82"
"logical-sweep-34","0.3979447687895547","0.99","","20","1000","1.4011001965489205","172.408"
"fearless-sweep-28","0.1392560577209923","0.99","","10","1000","1.977586041920268","170.59999999999997"
"ruby-sweep-3","0.4401088395571876","0.99","","15","1000","1.4323146757916057","170.31599999999997"
"fragrant-sweep-42","0.3493454251791392","0.99","","15","1000","1.7197178294488076","170.156"
"generous-sweep-6","0.37554218681989576","0.99","","15","1000","1.337701598055116","169.02399999999997"
"earnest-sweep-50","0.3382421726811943","0.99","","20","1000","1.5236135300583142","167.92800000000005"
"silver-sweep-41","0.3586636165420974","0.99","","15","1000","1.4301473186110298","163.228"
"rose-sweep-7","0.24010571859497365","0.99","","10","1000","1.8159116470410328","160.82399999999998"
"silvery-sweep-17","0.3546081740770661","0.99","","15","1000","1.4419055738082442","152.32"
"usual-sweep-47","0.1421610230719271","0.99","","15","1000","1.3598303560901457","150.644"
"polished-sweep-38","0.2517672419831519","0.99","","15","1000","1.288219813610793","148.248"
"snowy-sweep-26","0.2791261845092483","0.99","","10","1000","1.9076240018838009","137.772"
"sparkling-sweep-9","0.4475751649683387","0.99","","10","1000","1.764265548800562","135.472"
"neat-sweep-1","0.06738119229195272","0.99","","20","1000","1.8862275116226144","130.3"
"efficient-sweep-39","0.4347247014688747","0.99","","20","1000","1.3223136078270197","129.532"
"easy-sweep-27","0.05199434545496757","0.99","","10","1000","1.9993890270127976","128.244"
"feasible-sweep-19","0.48213931162854623","0.99","","10","1000","1.1380605315964518","128.06799999999998"
"skilled-sweep-46","0.05480955983534928","0.99","","20","1000","1.5803053735590715","123.34"
"dazzling-sweep-33","0.06531826328093572","0.99","","15","1000","1.4800694662112472","120.896"
"trim-sweep-44","0.17742515716252436","0.99","","15","1000","0.8466098709084813","118.404"
"upbeat-sweep-25","0.3896125835857428","0.99","","15","1000","0.8773297098601173","107.352"
"driven-sweep-2","0.0766772249504152","0.99","","20","1000","1.2610958209564451","106.356"
"radiant-sweep-11","0.06585706539752455","0.99","","15","1000","0.6533538161914733","105.744"
"scarlet-sweep-48","0.1787291538126319","0.99","","20","1000","1.0103187716528836","105.068"
"playful-sweep-8","0.15373843087387992","0.99","","10","1000","0.9683671424163732","102.808"
"jumping-sweep-36","0.4109515037326622","0.99","","15","1000","0.8215464949882635","99.02"
"ruby-sweep-31","0.16966668634830356","0.99","","20","1000","0.9583772547918896","85.136"
"earthy-sweep-13","0.1035584804735406","0.99","","15","1000","0.4104005745139181","77.888"
"worldly-sweep-49","0.0584845642617268","0.99","","20","1000","0.877312972800229","76.476"
"fresh-sweep-21","0.31053236216600677","0.99","","10","1000","1.0909228416110373","75.8"
"legendary-sweep-37","0.3681456272848385","0.99","","20","1000","0.5991713826663416","73.172"
"clean-sweep-10","0.45870235234381906","0.99","","20","1000","0.6251276004919866","66.812"
"legendary-sweep-30","0.386837466898987","0.99","","15","1000","0.46609176174595435","54.779999999999994"
"fresh-sweep-45","0.3619731583428314","0.99","","20","1000","0.4774758655597322","50.392"
"youthful-sweep-40","0.10139552335799638","0.99","","20","1000","0.19818025379246215","47.068"
"chocolate-sweep-15","0.20241954640986257","0.99","","10","1000","0.19568233972860188","43.452"
"dauntless-sweep-32","0.49471549249337143","0.99","","10","1000","0.5109684485299866","37.260000000000005"
"faithful-sweep-16","0.4666182852776158","0.99","","10","1000","0.18387582913031","26.3"
"exalted-sweep-35","0.14601429753764594","0.99","","10","1000","0.16017220106342803","25.868"
"autumn-sweep-20","0.41572333392336647","0.99","","20","1000","0.18223575762639305","25.42"
