"Name","alpha","epsilon","gamma","n_bins","n_episodes","method","average_reward_across_seeds"
"balmy-sweep-40","0.3807356673391468","0.1555447624395171","0.99","20","1000","","104.9"
"fast-sweep-7","0.497038972586999","0.16892771658108116","0.99","20","1000","","100.532"
"peachy-sweep-44","0.35556958471817757","0.16006383659663864","0.99","20","1000","","98.192"
"ancient-sweep-5","0.4707214526307355","0.15893610149966508","0.99","20","1000","","98.136"
"peach-sweep-39","0.4842064396003078","0.1647830641543609","0.99","20","1000","","97.848"
"lunar-sweep-36","0.4912281816301928","0.16284490730944923","0.99","20","1000","","97.436"
"trim-sweep-43","0.3233930279011794","0.1476593088779125","0.99","20","1000","","97.436"
"generous-sweep-30","0.39970611881272144","0.15037991455115535","0.99","20","1000","","96.968"
"resilient-sweep-41","0.3899695520332141","0.14176349073774502","0.99","20","1000","","95.18800000000002"
"different-sweep-16","0.459803693739701","0.14483110510089456","0.99","20","1000","","95.132"
"upbeat-sweep-33","0.4621009704181956","0.16238445015704306","0.99","20","1000","","91.996"
"electric-sweep-35","0.29803986705299934","0.20378148153533415","0.99","10","1000","","91.848"
"restful-sweep-45","0.4927892856971906","0.162154687530269","0.99","20","1000","","91.78"
"twilight-sweep-37","0.3117386985541326","0.1969189314859723","0.99","10","1000","","90.572"
"glamorous-sweep-10","0.48938156748358275","0.1925309693820992","0.99","20","1000","","90.56"
"dry-sweep-24","0.3741969225103649","0.187561095372338","0.99","10","1000","","90.316"
"crimson-sweep-17","0.4902088077095058","0.15457860481720737","0.99","20","1000","","89.868"
"electric-sweep-19","0.34983368542858323","0.17420567775970408","0.99","20","1000","","89.74"
"bumbling-sweep-38","0.4509150761055378","0.13612839930007706","0.99","20","1000","","89.11600000000001"
"unique-sweep-32","0.38627945985528345","0.12967986950289626","0.99","20","1000","","88.792"
"eager-sweep-11","0.495504891784024","0.11960677262539932","0.99","20","1000","","88.152"
"sunny-sweep-1","0.41040395202036256","0.21065430640253097","0.99","20","1000","","88.148"
"autumn-sweep-46","0.2584519240557413","0.2544136652646607","0.99","20","1000","","88.1"
"usual-sweep-42","0.3679970002952621","0.17026729447516015","0.99","20","1000","","87.44399999999999"
"warm-sweep-31","0.4397631554547789","0.1565716780592825","0.99","20","1000","","85.24799999999999"
"dark-sweep-13","0.4855342066681259","0.17134967190765055","0.99","20","1000","","85.13199999999999"
"morning-sweep-34","0.499295219427611","0.20903287465088607","0.99","20","1000","","84.436"
"visionary-sweep-50","0.4264348091896062","0.28660574958994933","0.99","20","1000","","84.408"
"easy-sweep-18","0.2005080827177665","0.1976414909162829","0.99","10","1000","","84.236"
"warm-sweep-23","0.22698490075995575","0.16052179179162043","0.99","10","1000","","81.328"
"glamorous-sweep-8","0.499620243766804","0.2921404639962764","0.99","15","1000","","80.816"
"classic-sweep-9","0.479355980641493","0.24237281340916653","0.99","10","1000","","78.55999999999999"
"avid-sweep-6","0.49880082540963705","0.061578102449030295","0.99","15","1000","","71.216"
"driven-sweep-47","0.14932756227229607","0.2857612732658191","0.99","20","1000","","70.26"
"valiant-sweep-20","0.19389941779505865","0.14608325357884402","0.99","10","1000","","69.92"
"solar-sweep-28","0.4148597381601265","0.06081796301175036","0.99","10","1000","","66.004"
"zany-sweep-26","0.28461540176535627","0.10413347767383407","0.99","15","1000","","63.93599999999999"
"worldly-sweep-14","0.44599172795783854","0.058512736417160566","0.99","20","1000","","61.592"
"efficient-sweep-48","0.14499263595294287","0.21671113074889783","0.99","15","1000","","58.708000000000006"
"swept-sweep-21","0.4017517101368918","0.03318286322752691","0.99","10","1000","","49.336"
"lilac-sweep-2","0.17452136835253076","0.1599508038989445","0.99","20","1000","","49.2"
"treasured-sweep-25","0.14860445595276958","0.14940723609827686","0.99","15","1000","","34.204"
"amber-sweep-27","0.0886011117833053","0.19741126101573703","0.99","15","1000","","18.876"
"elated-sweep-22","0.08498484080885027","0.09135262797017328","0.99","15","1000","","17.676000000000002"
"spring-sweep-3","0.026185772491887825","0.2980713188350562","0.99","20","1000","","17.18"
"fiery-sweep-15","0.18975989934124332","0.04214355569572176","0.99","10","1000","","15.38"
"smooth-sweep-4","0.011566259510949136","0.24256618487479287","0.99","20","1000","","13.608"
"still-sweep-29","0.048509901545161646","0.1706737043370652","0.99","15","1000","","13.404"
"brisk-sweep-49","0.27964880484316645","0.027240058365611223","0.99","15","1000","","13.296"
"graceful-sweep-12","0.22360612119964","0.011618611334325731","0.99","10","1000","","10.54"
