"Name","alpha","epsilon","gamma","n_bins","n_episodes","use_reward_shaping","average_reward_across_seeds"
"feasible-sweep-15","0.2613776318613942","0.05141384278362447","0.99","30","3000","true","-129.570556640625"
"misty-sweep-12","0.23753070281473576","0.0955443311785133","0.99","25","3000","true","-130.5606231689453"
"comic-sweep-17","0.13134262473312688","0.10655818709684128","0.99","25","3000","true","-132.03504943847656"
"wandering-sweep-16","0.197528871493594","0.11888402553828648","0.99","25","3000","true","-133.0354461669922"
"generous-sweep-10","0.23220019398313332","0.09204928934834576","0.99","25","3000","true","-134.66859436035156"
"gentle-sweep-6","0.10163218874966327","0.08575587229444466","0.99","20","3000","true","-136.12110900878906"
"jolly-sweep-11","0.2736010225774256","0.06533923491402369","0.99","30","3000","true","-136.60842895507812"
"fresh-sweep-13","0.10724286563046775","0.13396238245908232","0.99","20","3000","true","-137.15451049804688"
"snowy-sweep-2","0.2516841428628418","0.1179327679593104","0.99","30","3000","true","-138.61904907226562"
"balmy-sweep-3","0.10940523159888071","0.1645143805222924","0.99","20","3000","true","-139.77011108398438"
"ruby-sweep-7","0.15128481317662185","0.1147818633015786","0.99","30","3000","true","-140.17160034179688"
"stoic-sweep-9","0.16915218727971876","0.18707818438154208","0.99","25","3000","true","-141.2788543701172"
"vibrant-sweep-4","0.11220784761878116","0.1695384826890194","0.99","25","3000","true","-141.46658325195312"
"driven-sweep-19","0.1272430246152541","0.10419610563803168","0.99","30","3000","true","-141.53024291992188"
"major-sweep-1","0.24096302498757816","0.09608690670112062","0.99","20","3000","true","-141.9373016357422"
"revived-sweep-5","0.1770432407523055","0.13981970577079","0.99","30","3000","true","-142.58047485351562"
"decent-sweep-8","0.10488543342524066","0.08840683178064657","0.99","25","3000","true","-142.63943481445312"
"treasured-sweep-18","0.2334901405748856","0.184068910289126","0.99","25","3000","true","-147.4573516845703"
"dark-sweep-14","0.10773974626425133","0.13758889023694987","0.99","30","3000","true","-149.18942260742188"
"lunar-sweep-20","0.22987421252257487","0.17233237594285167","0.99","30","3000","true",""
